sdnn,lf_hf,hr,rmssd,pnn50,nn50,stress
28.52,4.290272467,99,13.81,0,0,39.66
28.52,4.290272467,99,13.81,0,0,39.66
28.93,5.688278953,99,14.06,0,0,51.25
28.93,5.688278953,98,14.06,0,0,50.74
28.93,5.688278953,97,14.06,0,0,50.25
28.63,5.109448713,96,14.04,0,0,44.87
28.63,5.109448713,96,14.04,0,0,44.87
28.63,5.109448713,96,14.04,0,0,44.87
28.63,5.109448713,95,14.04,0,0,44.38
29.86,5.85830712,95,14.19,0,0,50.73
30.01,6.25080292,96,14.2,0,0,54.62
30.01,6.25080292,97,14.2,0,0,55.12
30.09,6.281419208,97,14.35,0,0,55.39
30.09,6.281419208,97,14.35,0,0,55.39
30.09,6.281419208,98,14.35,0,0,55.88
30.09,6.281419208,98,14.35,0,0,55.88
29.98,6.353026564,98,14.58,0,0,56.51
29.98,6.353026564,98,14.58,0,0,56.51
30.33,6.366802168,99,14.96,0,0,57.14
30.33,6.366802168,99,14.96,0,0,57.14
30.33,6.366802168,99,14.96,0,0,57.14
30.33,6.366802168,100,14.96,0,0,57.65
30.49,6.161307054,101,14.86,0,0,56.36
30.81,6.566245847,99,15.07,0,0,58.9
30.81,6.566245847,97,15.07,0,0,57.9
30.81,6.566245847,97,15.07,0,0,57.9
30.81,6.566245847,96,15.07,0,0,57.41
32.18,7.066917495,96,15.63,0,2,61.9
32.18,7.066917495,96,15.63,0,2,61.9
32.27,7.224743382,96,15.7,0,2,63.34
32.27,7.224743382,96,15.7,0,2,63.34
32.27,7.224743382,96,15.7,0,2,63.34
32.78,7.88697584,96,15.73,0,2,69.47
32.45,7.42371982,98,15.74,0,2,66.16
32.45,7.42371982,98,15.74,0,2,66.16
32.96,7.557396295,99,15.76,0,2,67.89
32.96,7.557396295,100,15.76,0,2,68.4
33.21,8.2721174,100,15.86,0,2,75.12
33.21,8.2721174,99,15.86,0,2,74.61
33.21,8.2721174,100,15.86,0,2,75.12
32.91,8.386543536,100,15.7,0,2,76.21
32.91,8.386543536,99,15.7,0,2,75.71
32.8,8.328122717,95,15.97,0,2,73.17
33.19,7.991532721,95,15.95,0,2,69.97
33.19,7.991532721,95,15.95,0,2,69.97
33.19,7.991532721,95,15.95,0,2,69.97
33.21,7.739884393,94,15.91,0,2,67.13
33.21,7.739884393,94,15.91,0,2,67.13
33.21,7.739884393,95,15.91,0,2,67.61
33.21,7.739884393,95,15.91,0,2,67.61
32.87,7.661608283,95,15.76,0,2,66.88
32.87,7.661608283,95,15.76,0,2,66.88
32.87,7.661608283,95,15.76,0,2,66.88
32.87,7.661608283,95,15.76,0,2,66.88
32.58,8.364314036,95,15.69,0,2,73.51
32.34,7.747616886,96,15.64,0,2,68.17
32.34,7.747616886,97,15.64,0,2,68.66
32.34,7.747616886,97,15.64,0,2,68.66
32.61,7.915034695,98,15.6,0,2,70.73
32.61,7.915034695,99,15.6,0,2,71.23
32.61,7.915034695,99,15.6,0,2,71.23
32.44,8.059288538,100,15.56,0,2,73.1
32.44,8.059288538,100,15.56,0,2,73.1
31.83,7.597321707,100,15.41,0,2,68.77
31.83,7.597321707,101,15.41,0,2,69.29
31.83,7.597321707,101,15.41,0,2,69.29
32.12,8.183079974,101,15.54,0,2,74.79
32.12,8.183079974,99,15.54,0,2,73.76
33.72,10.61190393,99,15.92,0,2,97.96
33.72,10.61190393,99,15.92,0,2,97.96
33.72,10.61190393,99,15.92,0,2,97.96
33.79,10.07188231,99,16,0,2,92.38
33.79,10.07188231,99,16,0,2,92.38
33.79,10.07188231,99,16,0,2,92.38
33.79,10.07188231,99,16,0,2,92.38
33.25,8.741119145,98,15.81,0,2,78.62
33.25,8.741119145,98,15.81,0,2,78.62
33.25,8.741119145,98,15.81,0,2,78.62
33.75,8.348702334,98,15.69,0,2,74.84
34.26,8.803683738,100,15.49,0,2,80.24
34.26,8.803683738,100,15.49,0,2,80.24
34.26,8.803683738,100,15.49,0,2,80.24
34.04,9.042743707,101,15.53,0,2,83.09
34.04,9.042743707,102,15.53,0,2,83.61
34.04,9.042743707,102,15.53,0,2,83.61
34.58,9.356923602,104,15.43,0,2,87.77
34.58,9.356923602,104,15.43,0,2,87.77
34.59,9.385961931,100,15.51,0,2,85.97
34.59,9.385961931,100,15.51,0,2,85.97
34.15,7.541236364,99,15.51,0,2,67.75
34.15,7.541236364,98,15.51,0,2,67.24
34.15,7.541236364,96,15.51,0,2,66.25
35.35,8.636711891,95,15.66,0,2,76.13
64.81,5.972306223,120,13.38,0,0,65.46
64.81,5.972306223,119,13.38,0,0,64.85
64.81,5.972306223,118,13.38,0,0,64.24
64.81,5.972306223,118,13.38,0,0,64.24
64.63,6.09577801,118,13.31,0,0,65.31
64.63,6.09577801,117,13.31,0,0,64.71
64.63,6.09577801,116,13.31,0,0,64.12
63.61,6.174249605,115,13.15,0,0,64.21
63.61,6.174249605,114,13.15,0,0,63.62
63.61,6.174249605,113,13.15,0,0,63.04
63.17,6.395667626,113,13.14,0,0,64.98
63.17,6.395667626,113,13.14,0,0,64.98
62.18,5.860242792,109,13.23,0,0,58.04
62.18,5.860242792,107,13.23,0,0,56.94
62.18,5.860242792,107,13.23,0,0,56.94
59.44,4.620914164,108,13.13,0,1,47.1
58.95,5.154100244,108,13.01,0,1,51.5
57.65,5.154434251,108,13.03,0,1,51.5
57.65,5.154434251,108,13.03,0,1,51.5
56.27,4.589171541,106,12.95,0,1,45.75
56.15,3.793740257,106,13.15,0,1,39.4
56.15,3.793740257,106,13.15,0,1,39.4
